자치구,동,합계,지체,뇌병변,시각,청각,지적장애,자폐성,정신장애,지적+자폐+정신,위도,경도
중구,신당동,390,187,42,46,41,25,6,16,47,37.554376,127.0084746
중구,다산동,653,294,48,87,117,28,9,25,62,37.554347,127.011001
중구,약수동,892,379,89,115,155,51,11,31,93,37.5615738,127.0194523
중구,청구동,634,286,57,77,93,43,5,26,74,37.559973,127.018296
중구,동화동,440,209,51,38,61,19,13,12,44,37.5498915,126.9814212
용산구,후암동,767,320,91,83,103,68,10,37,115,37.5458707,126.9854421
용산구,용산2가동,468,201,43,54,75,40,3,20,63,37.5455655,126.9744151
용산구,남영동,549,224,50,80,67,46,6,40,92,37.5342605,126.9515837
용산구,원효로2동,469,191,51,61,78,28,3,15,46,37.5417318,126.9613055
용산구,효창동,344,154,38,42,50,18,6,8,32,37.5383431,126.9584999
용산구,용문동,488,207,48,49,91,32,9,15,56,37.5212905,126.973027
용산구,이촌1동,528,201,54,63,91,30,21,11,62,37.5268725,126.9541116
용산구,이촌2동,370,170,32,36,55,22,4,14,40,37.5323175,126.9949965
용산구,이태원1동,231,98,27,20,35,15,5,10,30,37.5407324,126.9897188
용산구,이태원2동,326,150,25,44,43,24,3,8,35,37.520402,126.9945799
용산구,서빙고동,380,158,37,37,64,31,10,6,47,37.5265039,127.0011919
용산구,보광동,594,264,46,88,74,30,2,23,55,37.5435097,126.9696097
용산구,청파동,828,359,82,109,120,62,9,36,107,37.5388162,126.9657772
용산구,원효로1동,471,197,49,61,64,29,12,15,56,37.5290615,126.9694881
용산구,한강로동,525,246,49,70,72,25,12,17,54,37.5311789,127.0062454
용산구,한남동,622,301,62,70,78,36,6,17,59,37.5610086,127.0304642
성동구,왕십리2동,663,288,67,64,100,40,17,17,74,37.5662583,127.0453796
성동구,마장동,1071,523,104,98,138,71,27,40,138,37.5610919,127.0459627
성동구,사근동,383,200,41,36,45,17,2,11,30,37.5584261,127.0361028
성동구,행당1동,517,225,52,50,88,25,10,11,46,37.55787,127.0292984
성동구,행당2동,906,395,95,102,125,51,13,37,101,37.5505499,127.0341139
성동구,응봉동,546,225,57,60,101,32,10,16,58,37.5547592,127.0211043
성동구,금호1가동,670,305,80,73,83,44,5,23,72,37.5472602,127.0223264
성동구,금호4가동,529,232,58,55,76,34,11,19,64,37.5393726,127.0475472
성동구,성수1가1동,585,256,54,70,89,41,6,19,66,37.5462887,127.0442133
성동구,성수1가2동,487,231,48,41,79,29,5,13,47,37.5394557,127.0540185
성동구,성수2가1동,807,401,64,75,114,50,12,32,94,37.5483166,127.0549622
성동구,성수2가3동,426,189,44,49,57,30,10,11,51,37.5527653,127.0608277
성동구,송정동,522,241,50,53,70,40,7,18,65,37.5640647,127.0554067
성동구,용답동,647,296,63,65,84,33,4,55,92,37.5659801,127.031437
성동구,왕십리도선동,992,422,127,120,136,66,18,43,127,37.5529815,127.0211044
성동구,금호2.3가동,939,463,90,84,137,58,9,27,94,37.5435935,127.0134664
성동구,옥수동,722,320,84,76,103,39,14,31,84,37.5435547,127.073456
광진구,화양동,541,247,55,69,76,29,5,17,51,37.5530066,127.0736292
광진구,군자동,795,367,74,83,104,56,5,39,100,37.5606486,127.0799594
